mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eta,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.5332403182983398,0.04799783330162032,0.008310874303181967,0.00047030264365569767,0.08,5,"{'eta': 0.08, 'max_depth': 5}",0.9306930693069307,0.96,0.95,0.9468976897689769,0.01216394380232616,1
0.5648220380147299,0.02570313635004592,0.010308504104614258,0.004704599834290062,0.08,6,"{'eta': 0.08, 'max_depth': 6}",0.9306930693069307,0.96,0.95,0.9468976897689769,0.01216394380232616,1
0.6625608603159586,0.038345645511211,0.012966076532999674,0.00293620216215916,0.08,7,"{'eta': 0.08, 'max_depth': 7}",0.9306930693069307,0.96,0.95,0.9468976897689769,0.01216394380232616,1
0.5495305061340332,0.01786005172726641,0.006316343943277995,0.00047125800235667525,0.08,8,"{'eta': 0.08, 'max_depth': 8}",0.9306930693069307,0.96,0.95,0.9468976897689769,0.01216394380232616,1
0.5132940610249838,0.020701791509942183,0.005983511606852214,4.899036091938795e-07,0.08,9,"{'eta': 0.08, 'max_depth': 9}",0.9306930693069307,0.96,0.95,0.9468976897689769,0.01216394380232616,1
0.5342372258504232,0.03671153987704381,0.006316820780436198,0.00047007786046845593,0.08,10,"{'eta': 0.08, 'max_depth': 10}",0.9306930693069307,0.96,0.95,0.9468976897689769,0.01216394380232616,1
0.49234994252522785,0.019984676887999892,0.006648937861124675,0.0009406053477442016,0.09,3,"{'eta': 0.09, 'max_depth': 3}",0.9306930693069307,0.96,0.95,0.9468976897689769,0.01216394380232616,1
0.4930150508880615,0.012676747243841277,0.006315390268961589,0.0004695724513702069,0.09,4,"{'eta': 0.09, 'max_depth': 4}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.4850364526112874,0.026327338003717164,0.006648461023966472,0.0004703027242327683,0.09,5,"{'eta': 0.09, 'max_depth': 5}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.48171154657999676,0.023190444858336705,0.006649017333984375,0.00047019049385102864,0.09,6,"{'eta': 0.09, 'max_depth': 6}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.5099695523579916,0.040439889841016215,0.006647904713948567,0.0009408301309170082,0.09,7,"{'eta': 0.09, 'max_depth': 7}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.5149555206298828,0.009508984162789391,0.005983988444010417,7.867411722033553e-07,0.09,8,"{'eta': 0.09, 'max_depth': 8}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.49600688616434735,0.03746183750208249,0.005984147389729817,2.9736021254650284e-07,0.09,9,"{'eta': 0.09, 'max_depth': 9}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.5073103109995524,0.03746185513693712,0.006316582361857097,0.0004702465989589376,0.09,10,"{'eta': 0.09, 'max_depth': 10}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.4807144006093343,0.01956109574964735,0.005983193715413411,1.1239159602905075e-07,0.1,3,"{'eta': 0.1, 'max_depth': 3}",0.9306930693069307,0.96,0.95,0.9468976897689769,0.01216394380232616,1
0.46110041936238605,0.026328373613371613,0.006316026051839192,0.0004697969117333428,0.1,4,"{'eta': 0.1, 'max_depth': 4}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.46741684277852374,0.017547146551341705,0.006315946578979492,0.0009405491166964253,0.1,5,"{'eta': 0.1, 'max_depth': 5}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.46608606974283856,0.035925262242419556,0.006981452306111653,6.25769923052137e-07,0.1,6,"{'eta': 0.1, 'max_depth': 6}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.4717381000518799,0.025867671772002266,0.0063161055246988935,0.0004707524515305133,0.1,7,"{'eta': 0.1, 'max_depth': 7}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.4810456434885661,0.03740794948703253,0.007646401723225911,0.0023512323178664714,0.1,8,"{'eta': 0.1, 'max_depth': 8}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.5149563153584799,0.018822810977886868,0.005983829498291016,5.150429962800233e-07,0.1,9,"{'eta': 0.1, 'max_depth': 9}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.4281986554463704,0.054617446751276666,0.006650129954020183,0.0037619153077455584,0.1,10,"{'eta': 0.1, 'max_depth': 10}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
