mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_eta,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.7460042635599772,0.02699509506061911,0.0069806575775146484,0.000814393405795133,0.05,3,"{'eta': 0.05, 'max_depth': 3}",0.9306930693069307,0.96,0.95,0.9468976897689769,0.01216394380232616,1
0.6908184687296549,0.07367033508722454,0.007978121439615885,0.0014102897469725289,0.05,4,"{'eta': 0.05, 'max_depth': 4}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.6761911710103353,0.017100606483550565,0.008310953776041666,0.003291725070255032,0.05,5,"{'eta': 0.05, 'max_depth': 5}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.718079408009847,0.008616706213959003,0.006316661834716797,0.00047069604442453246,0.05,6,"{'eta': 0.05, 'max_depth': 6}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.8523876667022705,0.018014086430001245,0.009308099746704102,0.002618211281853577,0.05,7,"{'eta': 0.05, 'max_depth': 7}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.7706048488616943,0.1049582029726434,0.011968612670898438,0.0035487866530126352,0.05,8,"{'eta': 0.05, 'max_depth': 8}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.722400426864624,0.045494568084835756,0.016954342524210613,0.014814877081510889,0.05,9,"{'eta': 0.05, 'max_depth': 9}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.738025983174642,0.03455832663471414,0.006315549214680989,0.0004697969117333428,0.05,10,"{'eta': 0.05, 'max_depth': 10}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.5302491982777914,0.016813746063213175,0.00664981206258138,0.00047075390052982136,0.06,3,"{'eta': 0.06, 'max_depth': 3}",0.9306930693069307,0.96,0.95,0.9468976897689769,0.01216394380232616,1
0.6605672836303711,0.06742854101530099,0.011302550633748373,0.006165184620742554,0.06,4,"{'eta': 0.06, 'max_depth': 4}",0.9306930693069307,0.96,0.95,0.9468976897689769,0.01216394380232616,1
0.6821772257486979,0.042693467520524095,0.006980498631795247,0.0008165363621390768,0.06,5,"{'eta': 0.06, 'max_depth': 5}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.6854926745096842,0.03000159462165302,0.006648619969685872,0.00047058365283811766,0.06,6,"{'eta': 0.06, 'max_depth': 6}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.6791838804880778,0.022669969292940535,0.006981770197550456,0.0008146855840926578,0.06,7,"{'eta': 0.06, 'max_depth': 7}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.5718032519022623,0.00819759577608483,0.007313172022501628,0.0018804799914790744,0.06,8,"{'eta': 0.06, 'max_depth': 8}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.5774553616841634,0.014198384414580123,0.0066487789154052734,0.00046985331924368303,0.06,9,"{'eta': 0.06, 'max_depth': 9}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.582774798075358,0.010935558463203219,0.007314761479695638,0.0004694600598611208,0.06,10,"{'eta': 0.06, 'max_depth': 10}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
0.5302491188049316,0.01596481738655826,0.006316343943277995,0.00047041551859602817,0.07,3,"{'eta': 0.07, 'max_depth': 3}",0.9306930693069307,0.96,0.95,0.9468976897689769,0.01216394380232616,1
0.543546199798584,0.011015959803448402,0.009308497111002604,0.0033907615071332607,0.07,4,"{'eta': 0.07, 'max_depth': 4}",0.9306930693069307,0.96,0.95,0.9468976897689769,0.01216394380232616,1
0.5797825654347738,0.035739806790409945,0.007312933603922526,0.0012442188933944982,0.07,5,"{'eta': 0.07, 'max_depth': 5}",0.9306930693069307,0.96,0.95,0.9468976897689769,0.01216394380232616,1
0.5668180783589681,0.018068507645990512,0.006981054941813151,4.899036091938795e-07,0.07,6,"{'eta': 0.07, 'max_depth': 6}",0.9306930693069307,0.96,0.95,0.9468976897689769,0.01216394380232616,1
0.5342369874318441,0.012986040732833755,0.005983432133992513,4.899036091938795e-07,0.07,7,"{'eta': 0.07, 'max_depth': 7}",0.9306930693069307,0.96,0.95,0.9468976897689769,0.01216394380232616,1
0.5395570596059164,0.021344297085052474,0.008310317993164062,0.0020491250182174308,0.07,8,"{'eta': 0.07, 'max_depth': 8}",0.9306930693069307,0.96,0.95,0.9468976897689769,0.01216394380232616,1
0.5332417488098145,0.010343848178246372,0.00664830207824707,0.0004696846411716295,0.07,9,"{'eta': 0.07, 'max_depth': 9}",0.9306930693069307,0.96,0.95,0.9468976897689769,0.01216394380232616,1
0.5322426160176595,0.01422899785095361,0.006650209426879883,0.0004710335409921023,0.07,10,"{'eta': 0.07, 'max_depth': 10}",0.9306930693069307,0.96,0.95,0.9468976897689769,0.01216394380232616,1
0.5043189525604248,0.012358153783639166,0.006314198176066081,0.00047075390052982136,0.08,3,"{'eta': 0.08, 'max_depth': 3}",0.9306930693069307,0.96,0.95,0.9468976897689769,0.01216394380232616,1
0.4963379700978597,0.011640909525758449,0.005985260009765625,8.920806376395086e-07,0.08,4,"{'eta': 0.08, 'max_depth': 4}",0.9306930693069307,0.95,0.95,0.9435643564356436,0.009101374411311952,21
